<E|U+C>arg1:virus $infection $causes a <E|U+C>arg2:condition	1
<E|U+C>arg1:virus $infection, which $causes a <E|U+C>arg2:condition	1
<E|U+C>arg1:virus $infection $results $in <E|U+C>arg2:condition	1
<E|U+C>arg1:virus $infection, which $results $in <E|U+C>arg2:condition	1
<E|U+C>arg2:condition $is $the $result of <E|U+C>arg1:virus $infection	1
<E|U+C>arg2:condition, which $is $the $result of <E|U+C>arg1:virus $infection	1
<E|U+C>arg2:condition $is $[l=cause|trigger]caused $by <E|U+C>arg1:virus $infection	1
as a result of <E|U+C>arg1:virus $infection, <E|U+C>arg2:condition $can $develop	1
infected <E|U+C>arg1:patients $usually $develop <E|U+C>arg2:[entity]respiratory illness	2
infected <E|U+C>arg1:patients $show $signs $of <E|U+C>arg2:[entity]respiratory illness	2
<E|U+C>arg2:[entity]respiratory illness $is $observed in infected <E|U+C>arg1:patients	2
a <E|U+C>arg1:subset of $patients $progress to <E|U+C>arg2:hemorrhagic fever	3
a <E|U+C>arg1:subset $of $patients $show $signs $of <E|U+C>arg2:hemorrhagic fever	3
people with <E|U+C>arg1:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma are $susceptible to <E|U+C>arg2:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma	4
<E|U+C>arg1:something $[l]are $susceptible $to <E|U+C>arg2:something	4
<E|U+C>arg2:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma :is $more $common in people with <E|U+C>arg1:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma	4
<E|U+C>arg2:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma :is $more $common in <E|U+C>arg1:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma patients	4
<E|U+C>arg2:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma :is a common $comorbidity in people with <E|U+C>arg1:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma	4
the $comorbidity of <E|U>arg2:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma and <E|U+C>arg1:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma	4
<E|U+C>arg2:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma :is a common $comorbidity in <E|U+C>arg1:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma patients	4
<E|U+C>arg1:asthmatic $patients are $[lemma=prone|susceptible]susceptible $to <E|U+C>arg2:[e=DISEASE|PATHOLOGICAL_FORMATION]asthma disease	4
